id,name,categories,latitude,longitude,address,zip_code,price,rating,review_count,url,walk_score
00K-UTXqg9iDoMXB3QXh0A,Austin Taco Project,tapasmallplates bars tacos ,30.26506,-97.73862,500 E 4th St,78701.0,$$,4.0,298,https://www.yelp.com/biz/austin-taco-project-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,97
3ooXVBK6ltL3YYmY1FmqGA,Load A Bowl,catering ,30.450342,-97.66231540000001,15630 Vision Dr,78660.0,$,4.5,12,https://www.yelp.com/biz/load-a-bowl-pflugerville-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,51
gkhyAsQSyyC1s58_cXTlqQ,Kebab Time,mediterranean mideastern ,30.286198600000002,-97.7425615,2101 S 1st,78704.0,$,3.5,14,https://www.yelp.com/biz/kebab-time-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,94
KlPQxlxymGNNUf8ZauTptA,Rinconcito Calentano,unknown,30.36417616,-97.71530282,1600 Ohlen Rd,78758.0,,5.0,1,https://www.yelp.com/biz/rinconcito-calentano-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,76
YoZDLLDpHUNZhoI1EuqIMQ,Cupcaking Desire,desserts cupcakes ,30.395923,-97.726475,10901 Domain Dr,78758.0,$,4.0,46,https://www.yelp.com/biz/cupcaking-desire-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,64
Sb6jTtGg1jqTkQHZlrMbzw,The Naughty Texan,bbq ,30.20363,-97.78589000000001,,78745.0,$$,3.5,18,https://www.yelp.com/biz/the-naughty-texan-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,60
uPny6V596x7GfAeZ0k9dug,Raza's Food Shack,tacos ,30.193603399999997,-98.10102049999999,1005 W Hwy 290,78620.0,$,5.0,9,https://www.yelp.com/biz/razas-food-shack-dripping-springs?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,34
Q6bM1hZvk5h3a5Bi8F9llg,E's Grande Theft Tacos,unknown,30.24685097,-97.77699061,2323 S Lamar Blvd,78704.0,$,5.0,2,https://www.yelp.com/biz/es-grande-theft-tacos-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,78
WWm8jDliHKjkEFBCDCEILA,Southern Bunny Shaved Ice,shavedice ,30.2446406,-97.7572358,2101 S 1st St,78704.0,$,5.0,16,https://www.yelp.com/biz/southern-bunny-shaved-ice-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,87
9nRagOARtxoMtiKdC-x05A,Antojitos Hondureños Gaby,honduran ,30.17932,-97.84023,3008 W Slaughter Ln,78748.0,,5.0,2,https://www.yelp.com/biz/antojitos-hondure%C3%B1os-gaby-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,47
2CZN6ubMm-VzoB0QvdYIQQ,Tacos El Primo,mexican ,30.005,-97.82788664,414 High Rd,78640.0,$,4.5,10,https://www.yelp.com/biz/tacos-el-primo-kyle?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,27
UUKsOSvuT2Bo6dG-HaFxrA,Austin Frigid Frog,unknown,30.24669,-97.7766,2323 S Lamar Blvd,78704.0,$,4.0,47,https://www.yelp.com/biz/austin-frigid-frog-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,75
oEk10ghOeknPKvjrSxaMzg,Taqueria 7 Estrellas,foodstands mexican ,30.35493389,-97.70303747,8630 N Lamar Blvd,78753.0,$,4.0,31,https://www.yelp.com/biz/taqueria-7-estrellas-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,70
vXktzZJuyCzmu5m4VXO9gQ,Pollos Asados El norteño #2,mexican ,30.27010577,-97.69716290000001,1140 Airport Blvd,78702.0,$,5.0,1,https://www.yelp.com/biz/pollos-asados-el-norte%C3%B1o-2-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,73
Tbo5IAk7GA1-f4pZ6hz_YQ,Big Vinny's Bbq,bbq ,30.2459408,-97.7514741,1800 S Congress,78704.0,$$,5.0,29,https://www.yelp.com/biz/big-vinnys-bbq-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,90
sm_UIcBaT6cWQPqIsnm_tQ,i8Cow Mobile Steakhouse,steak ,30.160949,-97.79006899999999,9500S Interstate 35,78748.0,,4.5,3,https://www.yelp.com/biz/i8cow-mobile-steakhouse-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,56
