Id,Name,Categories,Latitude,Longitude,Address,Zip Code,Price,Rating,Review Count,Url,Walk Score,First Review Date,Category
YiiUZZiQScR31790Q61ooA,Sabor Cubano,['foodtrucks'],30.26725,-97.73716999999999,519 E 7th St,78701.0,,4.0,1,https://www.yelp.com/biz/sabor-cubano-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,94.0,4/18/2018,
rFxbs-NdlmIbHlbfowC-PQ,Insennity,"['foodtrucks', 'chinese', 'creperies']",30.286198600000002,-97.7425615,411 W 23rd St,78705.0,,5.0,21,https://www.yelp.com/biz/insennity-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,94.0,4/25/2018,chinese
FjfEqqlNveB86KrcUnK80A,Wimberley Subs & Salads,"['salad', 'shavedice', 'foodtrucks']",30.00204,-98.104568,411 FM 2325,78676.0,,5.0,3,https://www.yelp.com/biz/wimberley-subs-and-salads-wimberley?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,49.0,4/25/2018,shavedice
TqIa65mfKcbZA-a_Q2TJjA,Pizza On Point,"['pizza', 'foodtrucks']",30.286232000000002,-97.742502,411 W 23rd St,78705.0,$,4.5,17,https://www.yelp.com/biz/pizza-on-point-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,94.0,4/30/2018,
8FU8soDb92RmOLUmPVzQ9g,Blenders and Bowls - Guadalupe,"['acaibowls', 'foodtrucks']",30.30145,-97.73928000000001,3500 B Guadalupe St,78705.0,$$,4.5,19,https://www.yelp.com/biz/blenders-and-bowls-guadalupe-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,87.0,5/1/2018,
pRJiL3dZ2eO-ymhIj9U2yw,Thai Way 71,"['foodtrucks', 'thai']",30.35562336,-98.06791573,21521 Texas Hwy 71,78669.0,,5.0,9,https://www.yelp.com/biz/thai-way-71-spicewood?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,12.0,5/5/2018,thai
SWZfJW-uvBLJsKl5GEzLhQ,Groovy Sno-n-Coffee,"['shavedice', 'coffee', 'foodtrucks']",30.24257,-97.75869,2313 S 1st St,78704.0,,5.0,5,https://www.yelp.com/biz/groovy-sno-n-coffee-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,85.0,5/6/2018,coffee
IOmYphP8XiPUhJwT4ZmBmg,Gebby's BBQ & Catering,"['bbq', 'foodtrucks']",30.259220000000003,-97.73889,80 Rainey St,78701.0,,5.0,3,https://www.yelp.com/biz/gebbys-bbq-and-catering-austin-5?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,82.0,5/10/2018,
CL8R_Tmbm478Bnd3x0Roow,BANTHAI Express,"['thai', 'foodtrucks']",30.206909999999997,-97.83546,7612 Brodie Ln,78745.0,$$,4.5,27,https://www.yelp.com/biz/banthai-express-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,46.0,5/11/2018,
VDBrjcr9kyyLbSyoUJrebg,Chico's Jr's Deluxe Taco Emporium,"['foodtrucks', 'tacos']",30.26264047,-97.71447267,2421 Webberville Rd,78702.0,,5.0,1,https://www.yelp.com/biz/chicos-jrs-deluxe-taco-emporium-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,76.0,5/12/2018,tacos
IhjL6tHWz5y2aNK-2U02BA,Liberation Kitchen,"['restaurants', 'foodtrucks']",30.38261063,-97.72003021,2314 Rutland Dr,78758.0,,4.5,3,https://www.yelp.com/biz/liberation-kitchen-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,42.0,5/14/2018,
1Ri_vfcY09bg_x3iRzdHdw,Ella's Artisan Ice,"['shavedice', 'foodtrucks']",30.265590500000002,-97.7444235,102 1/2 West 3rd St,78701.0,,5.0,18,https://www.yelp.com/biz/ellas-artisan-ice-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,99.0,5/17/2018,
lg67PPs3Hq3ftJGlh_QkvQ,Holy Waffle Catering and Food Truck,"['mediterranean', 'waffles', 'foodtrucks']",30.28746,-97.74837,2310 San Gabriel St,78705.0,,5.0,1,https://www.yelp.com/biz/holy-waffle-catering-and-food-truck-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,84.0,5/21/2018,waffles
04cH5lpbd8rnpnA7DSn91A,Whitfield's BBQ,"['foodtrucks', 'bbq']",30.19387,-97.84268,9001 Brodie Ln,78748.0,,4.5,36,https://www.yelp.com/biz/whitfields-bbq-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,43.0,5/25/2018,bbq
qeGwkuYDMPtsnTSYLhg7Mg,Antojitos La Huastequita,"['foodtrucks', 'mexican']",30.242070000000002,-97.73612,2723 Ih 35 Frontage Rd,78741.0,$,5.0,1,https://www.yelp.com/biz/antojitos-la-huastequita-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,54.0,5/27/2018,mexican
RslcZcFv3i7CrzyQeqCrdQ,Chilaquil,['foodtrucks'],30.288420000000002,-97.74179000000001,2420 Guadalupe St,78705.0,,4.0,8,https://www.yelp.com/biz/chilaquil-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,90.0,5/28/2018,
3KX2kCDu7530soS_Cl3KnA,Los Hotdogs Hermanos,"['hotdog', 'foodtrucks']",30.4753,-97.82303,920 Old Mill Rd,78613.0,,5.0,5,https://www.yelp.com/biz/los-hotdogs-hermanos-cedar-park?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,33.0,5/29/2018,
